,genre,store_name,business_hours,address,url
0,カフェ,ベルギービール カフェ ベル・オーブ 東京芸術劇場,"営業時間
ランチ・カフェ　11:30~17:00ディナー　　　　17:00~23:00(FOOD L.O.22:00/DRINK L.O 22:30)※22時以降は当店テラス入り口からご来店頂けます※年末年始12月28日～1月3日まで芸術劇場休館日のため定休日となります。
日曜営業
定休日
不定休(東京芸術劇場に準ずる)",東京都豊島区西池袋1-8-1 東京芸術劇場 1F,https://tabelog.com/tokyo/A1305/A130501/13146508/
1,カフェ,24/7 cafe apartment 池袋,"営業時間
【全日】LUNCH /CAFE 11:30〜17:00(L.O.16:30)DINNER 17:00〜22:00(L.O.21:00)＊11月16日以降　【日～木】17:00~22:30(L.O21:30）【金・土・祝前日】17:00~23:00（L.O22:00）
日曜営業
定休日
不定休",東京都豊島区南池袋1-26-6 The SH oneビル 10F,https://tabelog.com/tokyo/A1305/A130501/13288582/
2,カフェ,ラシーヌ ファーム トゥー パーク,"営業時間
モーニング　＜月～金＞8:00-11:00　　　　　　＜土日祝＞9:00-11:00（L.O10:45）ランチ　　　＜月～金＞11:00-14:00カフェ　　　＜月～金＞14:00-17:00ブランチ　　＜土日祝＞11:00-17:00ディナー　　＜月～金＞17:00-22:00（L.O21:00）　　　　　　＜土日祝＞17:00-22:00（L.O21:00）
日曜営業
定休日
無休（年末年始を除き）",東京都豊島区南池袋2-21-1 豊島区南池袋公園,https://tabelog.com/tokyo/A1305/A130501/13193914/
3,カフェ,騒豆花 ルミネ池袋店,"営業時間
[月～日]11:00～22:00 （l.o).21:00
日曜営業
定休日
年中無休 ※ルミネ池袋の定休日に準ずる",東京都豊島区西池袋1-11-1 ルミネ池袋店 8F,https://tabelog.com/tokyo/A1305/A130501/13241128/
4,カフェ,アインソフ　ソア,"営業時間
11:30〜16:00 （15:00LO）18:00〜20:00 （19:30LO）※誠に恐れ入りますが、世情により営業時間を変更させていただく場合がございます。最新情報は池袋店Instagramでご案内しております。
日曜営業
定休日
不定休（HPカレンダーをご覧ください）",東京都豊島区東池袋3-5-7 ユニオンビルヂング １Ｆ,https://tabelog.com/tokyo/A1305/A130501/13164224/
5,カフェ,ESPRESSO D WORKS 池袋,"営業時間
LUNCH　 11:00〜14:00TEATIME  14:00〜23：00（LO22：00）TAKEOUT11:00～販売開始　　※売り切れ次第終了　
日曜営業
定休日
なし",東京都豊島区東池袋1-30-3 キュープラザ池袋,https://tabelog.com/tokyo/A1305/A130501/13235737/
6,カフェ,ベーカリーカフェフラミンゴ,"営業時間
8:00～20:00
日曜営業
定休日
年末年始",東京都豊島区池袋2-64-6 1F,https://tabelog.com/tokyo/A1305/A130501/13277075/
7,カフェ,BROOKLYN MILLS,"営業時間
月〜木11:00～20:00(料理L.O.19:00/ドリンクL.O.19:30)金土日祝11:00～21:00(料理L.O.20:00/ドリンクL.O.20:30)貸切のご予約であれば延長営業も行っております。詳しくは直接店舗までご連絡ください。
日曜営業
定休日
無休",東京都豊島区南池袋2-22-1 第3高村ビル 1F,https://tabelog.com/tokyo/A1305/A130501/13172490/
8,カフェ,chano-ma 池袋,"営業時間
当面の間、11:00～22:00
日曜営業
定休日
ルミネ池袋に準ずる",東京都豊島区西池袋1-11-1 ルミネ池袋店 9F,https://tabelog.com/tokyo/A1305/A130501/13217806/
9,カフェ,エクセルシオールカフェ 池袋２丁目店,"営業時間
平日：06：45～23：00　（LO22：40）土曜：07：00～23：00　（LO22：40）日祝：07：00～22：00　（LO21：40）
日曜営業
定休日
なし",東京都豊島区池袋2-1-1 千野時計屋本社ビル １Ｆ,https://tabelog.com/tokyo/A1305/A130501/13085175/
10,カフェ,サイフォニスタ,"営業時間
平日11時半から21時まで(LO21時)土日祝日10時から19時まで
日曜営業
定休日
水曜日",東京都豊島区長崎2-12-15,https://tabelog.com/tokyo/A1321/A132101/13193067/
11,カフェ,Cafe&Deli COOK,"営業時間
[月～土]11:30～22:00（L.O.21:00）
定休日
日曜日",東京都豊島区駒込3-1-13,https://tabelog.com/tokyo/A1323/A132301/13160774/
12,カフェ,カフェ マルニ,"営業時間
9:00～19:00
定休日
日曜日",東京都豊島区東池袋3-10-1 第二竹下ビル 1F,https://tabelog.com/tokyo/A1305/A130501/13165003/
