,genre,store_name,business_hours,address,url
0,カフェ,Tokyo Coffee Roastery Cafe,"営業時間
[月～日]09:00～18:30(L.Oドリンク)18:00(L.Oフード)17:30臨時休業あり年中無休年末年始：休みあり
日曜営業
定休日
年中無休",東京都東久留米市滝山4-1-40,https://tabelog.com/tokyo/A1328/A132802/13252185/
1,カフェ,かくしち,"営業時間
11:00～18:00
定休日
日曜日、月曜日、不定休(SNSにて告知)",東京都東久留米市中央町2-1-34,https://tabelog.com/tokyo/A1328/A132802/13095112/
2,カフェ,ドトールコーヒーショップ 東久留米西口店,"営業時間
[月～土]7:30～21:00[日・祝]8:00～20:00
日曜営業
定休日
無休",東京都東久留米市本町1-5-21 リバーウエストスクエア 1F,https://tabelog.com/tokyo/A1328/A132802/13124869/
3,カフェ,サンマルクカフェ 東久留米店,"営業時間
10:00～21:00
日曜営業
定休日
無休",東京都東久留米市本町3-8-1 イトーヨーカドー 1F,https://tabelog.com/tokyo/A1328/A132802/13181516/
4,カフェ,ペピーズダイナー,"営業時間
【月～金】11:00～21:00【土】11:00～22:00【日曜日】11:00～20:00フードラストオーダー閉店60分前ドリンクラストオーダー閉店30分前
日曜営業
定休日
無休",東京都東久留米市東本町1-8 エミオ東久留米 1F,https://tabelog.com/tokyo/A1328/A132802/13242893/
5,カフェ,スターバックスコーヒー イオンモール東久留米店,"営業時間
10:00～21:00
日曜営業
定休日
無休",東京都東久留米市南沢5-17-62 イオンモール東久留米 1F,https://tabelog.com/tokyo/A1328/A132802/13233792/
6,カフェ,あんＣａｆｅ,,東京都東久留米市上の原2-5-10,https://tabelog.com/tokyo/A1328/A132802/13155680/
7,カフェ,インザフォレストカフェ,,東京都東久留米市上の原2-7-7 M5F,https://tabelog.com/tokyo/A1328/A132802/13235388/
8,カフェ,しののめ茶寮,"営業時間
10:30～16:30(売切れ次第終了）、パン焼き上がり11:00
日曜営業
定休日
月曜日・祝日",東京都東久留米市学園町1-8-33 自由学園クラブハウスしののめ寮 1F,https://tabelog.com/tokyo/A1328/A132802/13137154/
9,カフェ,B's CAFE クルネ店,"営業時間
10:00～21:00
日曜営業
定休日
無休",東京都東久留米市野火止1-3-3 東久留米ショッピングセンタークルネ　1F,https://tabelog.com/tokyo/A1328/A132803/13100165/
10,カフェ,茶留夢,"営業時間
9:00～20:30
定休日
日曜日",東京都東久留米市東本町5-10,https://tabelog.com/tokyo/A1328/A132802/13089378/
11,カフェ,ワーズワース,"営業時間
10:00～18:00
日曜営業
定休日
月曜日",東京都東久留米市柳窪1-7-29,https://tabelog.com/tokyo/A1328/A132802/13059317/
12,カフェ,タリーズコーヒー Emio東久留米店,"営業時間
[月～金]7:30～21:30[土・日・祝]8:00～21:00
日曜営業
定休日
無休",東京都東久留米市東本町1-8 エミオ東久留米　２F,https://tabelog.com/tokyo/A1328/A132802/13111167/
13,カフェ,スマイル遠藤の店,,東京都東久留米市滝山4-1-30,https://tabelog.com/tokyo/A1328/A132802/13276263/
14,カフェ,喫茶アコルデ,"営業時間
10:00～19:00
定休日
日曜日、月曜日",東京都東久留米市東本町13-6,https://tabelog.com/tokyo/A1328/A132802/13089132/
15,カフェ,ピッコロ,,東京都東久留米市幸町3-6-3,https://tabelog.com/tokyo/A1328/A132802/13146432/
16,カフェ,金子園 東久留米店,"営業時間
9:00～21:00
日曜営業
定休日
無休",東京都東久留米市本町3-8-1 イトーヨーカドー東久留米店 1F,https://tabelog.com/tokyo/A1328/A132802/13146251/
17,カフェ,喫茶すぎのこ,"営業時間
10:00～17:00（L.O.16:30）
日曜営業
定休日
祝日",東京都東久留米市大門町2-10-5,https://tabelog.com/tokyo/A1328/A132802/13076402/
18,カフェ,カフエドカフエ,,東京都東久留米市滝山4-12-5,https://tabelog.com/tokyo/A1328/A132804/13075887/
19,カフェ,おこめのシフォン るい,"営業時間
10:00～16:00
日曜営業
定休日
火曜日、水曜日、木曜日",東京都東久留米市南沢4-9-64,https://tabelog.com/tokyo/A1328/A132802/13285188/
