,genre,store_name,business_hours,address,url
0,カフェ,キャラバンコーヒー 国分寺丸井店,"営業時間
10:00 - 20:30
日曜営業
定休日
不定休（丸井に準ずる）",東京都国分寺市南町3-20-3 国分寺マルイ B1F,https://tabelog.com/tokyo/A1325/A132502/13038115/
1,カフェ,カフェスロー,"営業時間
[火・水・木・金・土・日祝]11:00～17:00 ※土曜のみ夜にイベントのある場合は15:00までの営業＊ランチタイム　11:00‐15:30／L.O.15:00＊ティータイム　15:30-17:00／L.O.16:30
日曜営業
定休日
月曜日",東京都国分寺市東元町2-20-10,https://tabelog.com/tokyo/A1325/A132502/13016056/
2,カフェ,どりっぷ,"営業時間
11:00～20:00
日曜営業
定休日
火曜日",東京都国分寺市南町3-19-6 2Ｆ,https://tabelog.com/tokyo/A1325/A132502/13197115/
3,カフェ,スターバックスコーヒー nonowa西国分寺店,"営業時間
7:00～22:30
日曜営業
定休日
無休",東京都国分寺市西恋ヶ窪2-1-18 nonowa西国分寺,https://tabelog.com/tokyo/A1325/A132502/13226074/
4,カフェ,ord,"営業時間
[月]13:00～18:00[木～日]13:00～20:00
日曜営業
定休日
火曜日、水曜日",東京都国分寺市日吉町2-15-25 冨安ビル1F,https://tabelog.com/tokyo/A1325/A132503/13225591/
5,カフェ,スズメノツノ,"営業時間
11:30-19:00(L.O 18:00)金曜日のみ　夜ノカフェ　21:00まで営業中
日曜営業
定休日
火・水",東京都国分寺市南町2-10-21,https://tabelog.com/tokyo/A1325/A132502/13233014/
6,カフェ,コメダ珈琲店 ミーツ国分寺店,"営業時間
7:00～22:00(L.O.21:30)
日曜営業
定休日
無休",東京都国分寺市本町3-1-1 2F,https://tabelog.com/tokyo/A1325/A132502/13257534/
7,カフェ,cafe 6,"営業時間
☆5/14(日)～20(土)臨時休業させて頂きます☆5月より、しばらくの間、営業時間を変更させて頂きます・月火金～日：昼営業11時30分～17時(16時LO)夜営業17時～21時(20時LO)・水曜日：11時30分～17時(16時LO)・定休日：第三水曜日・木曜日※お食事はバターチキンカレー、おでんのみとさせて頂きます
日曜営業
定休日
第三水曜日・木曜日",東京都国分寺市南町2-18-3 国分寺マンション103,https://tabelog.com/tokyo/A1325/A132502/13209719/
8,カフェ,武蔵野茶房 国分寺店,"営業時間
10:00～20:30(L.O.20:00)
日曜営業
定休日
無休",東京都国分寺市南町3-20-3 国分寺マルイ 5F,https://tabelog.com/tokyo/A1325/A132502/13023519/
9,カフェ,メゾン・ド・ヴェール セレオ国分寺,"営業時間
10:00～20:30
日曜営業",東京都国分寺市南町3-20-3 セレオ国分寺 3F,https://tabelog.com/tokyo/A1325/A132502/13098072/
10,カフェ,Roof,"営業時間
12:00～24:00
日曜営業
定休日
水曜日",東京都国分寺市本町3-12-12,https://tabelog.com/tokyo/A1325/A132502/13024139/
11,カフェ,リオ,,東京都国分寺市本町2-3-2,https://tabelog.com/tokyo/A1325/A132502/13088890/
12,カフェ,おたカフェ,"営業時間
[火～日]9:00～17:00月曜日祝日の場合は火曜休み
日曜営業
定休日
月曜日",東京都国分寺市西元町1-13-6,https://tabelog.com/tokyo/A1325/A132502/13098700/
13,カフェ,イングリッシュガーデン・ローズカフェ,"営業時間
11:00～17:00
日曜営業
定休日
木曜日",東京都国分寺市南町2-3-23,https://tabelog.com/tokyo/A1325/A132502/13019688/
14,カフェ,クルミドコーヒー,"営業時間
11:00～(L.O.18:30)
日曜営業
定休日
木曜日",東京都国分寺市泉町3-37-34 マージュ西国分寺　１Ｆ,https://tabelog.com/tokyo/A1325/A132502/13056474/
15,カフェ,コメダ珈琲店 国分寺店,"営業時間
7:00～23:00
日曜営業
定休日
無休",東京都国分寺市並木町1-19-3,https://tabelog.com/tokyo/A1325/A132502/13162963/
16,カフェ,スターバックス コーヒー ミーツ国分寺店,"営業時間
7:00～22:30
日曜営業
定休日
不定休",東京都国分寺市本町3-1-1 cocobunji WEST ミーツ国分寺 2F,https://tabelog.com/tokyo/A1325/A132502/13217758/
17,カフェ,コクテル堂 国分寺店,"営業時間
10:00～21:00
日曜営業
定休日
不定休（セレオ国分寺に準ずる）",東京都国分寺市南町3-20-3 セレオ国分寺 8F,https://tabelog.com/tokyo/A1325/A132502/13023390/
18,カフェ,ガルリカフェ 西国分寺店,"営業時間
12:00～20:00
日曜営業
定休日
月曜日",東京都国分寺市西恋ケ窪2-3-1,https://tabelog.com/tokyo/A1325/A132502/13086617/
19,カフェ,でんえん,,東京都国分寺市本町2-8-7,https://tabelog.com/tokyo/A1325/A132502/13016060/
20,カフェ,ファーム 国分寺,"営業時間
11:00～24:00",東京都国分寺市本町2丁目2-9 東京ビル 2F,https://tabelog.com/tokyo/A1325/A132502/13097444/
21,カフェ,カフェアイコンズ,"営業時間
9:00〜20:00(FOOD Lo.19:00)(DRINK&SWEETS Lo.19:30)
日曜営業
定休日
不定休",東京都国分寺市本町3-4-4 栄ビル,https://tabelog.com/tokyo/A1325/A132502/13278693/
22,カフェ,えぐぅ～ カフェ 国分寺店,"営業時間
11:00～20:00(L.O.19:00)
日曜営業
定休日
なし",東京都国分寺市本町2-12-4 ユーリービル 3F,https://tabelog.com/tokyo/A1325/A132502/13219291/
23,カフェ,カフェローカル,"営業時間
11:00～18:00
日曜営業
定休日
月曜日",東京都国分寺市本町3-1-1 cocobunji WEST 5F,https://tabelog.com/tokyo/A1325/A132502/13225712/
24,カフェ,喫茶 プー横丁の店 POOH’S HOUSE,"営業時間
17:00～20:00
定休日
日曜日",東京都国分寺市本多1-6-3,https://tabelog.com/tokyo/A1325/A132502/13046254/
25,カフェ,ジョルジュサンク 国分寺店,"営業時間
12:00～22:00
日曜営業
定休日
火曜日",東京都国分寺市本町3-4-5,https://tabelog.com/tokyo/A1325/A132502/13016065/
26,カフェ,カフェ おきもと,"営業時間
［金～月］11:00～17:00LUNCH 11:00～14:00(L.O.)CAFE 14:00～16:00(L.O.)
日曜営業
定休日
（火）（水）（木）",東京都国分寺市内藤2-43-9,https://tabelog.com/tokyo/A1325/A132503/13252039/
27,カフェ,メイ カフェ,"営業時間
◎5月6日土曜日は貸し切り営業の為、通常営業はお休みとさせていただきます。※電解液噴霧によるウイルス（コロナ・インフルエンザ）空間除菌を行っております、エアドック設置。当面の営業時間11：30より18：00といたします。
日曜営業
定休日
毎火曜日・水曜日を定休日とさせていただきます。",東京都国分寺市南町2-11-16 ヴェローナ国分寺 2F,https://tabelog.com/tokyo/A1325/A132502/13186567/
28,カフェ,胡桃堂喫茶店,"営業時間
11:00 - 18:00（L.O.17:30）
日曜営業
定休日
木曜日",東京都国分寺市本町2-17-3,https://tabelog.com/tokyo/A1325/A132502/13206891/
29,カフェ,イエノウエノカフェ,"営業時間
[火～土] 11:00～23:00（日曜～22:00）月曜日が祝日の場合は営業し、翌日火曜日がお休みです。
日曜営業
定休日
月曜日",東京都国分寺市本町3-8-15 コクブンジノイエ 6F 屋上,https://tabelog.com/tokyo/A1325/A132502/13183678/
30,カフェ,CAFE FLAっと,"営業時間
11:30～23:00(LO.22:15)ﾗﾝﾁ11：30～14：30
日曜営業
定休日
火曜日",東京都国分寺市泉町2-9-1 西国分寺ライフタワー１Ｆ,https://tabelog.com/tokyo/A1325/A132502/13050958/
31,カフェ,ドトールコーヒーショップ 西国分寺店,"営業時間
平日　07:00 - 21:00　土曜　08:00 - 21:00　日祝　08:00 - 21:00　
日曜営業",東京都国分寺市泉町3-35-1,https://tabelog.com/tokyo/A1325/A132502/13086836/
