n,business_hours
45,"営業時間
7:00～22:00
日曜営業
定休日
無休"
46,"営業時間
〈平日〉9:00～21:00〈休日〉10:00～18:00　※営業時間等は変更になる場合がございます
定休日
年末年始"
47,
48,"営業時間
月〜金曜日(7:00〜19:00)土曜日(10:00〜17:00)2012年１月から土曜も営業
定休日
日祝"
49,"営業時間
8:00～20:00"
50,"営業時間
[月～金] 7:30～20:00 [土] 8:00～20:00 [日・祝] 8:30～19:30
日曜営業"
51,"営業時間
[月～金] 7:30～20:30[土・日・祝] 8:00～20:30
日曜営業
定休日
無休"
52,"営業時間
[月～金]10:00～21:00[土・日・祝]10:00～20:00
日曜営業
定休日
不定休（大丸に準ずる）"
53,"営業時間
7:00～22:00
日曜営業
定休日
不定休"
54,"営業時間
[月～金] 8:30～19:00[土] 11:45～17:00（土曜営業は月一回のみ）
定休日
日曜・祝日定休、土曜不定休"
55,"営業時間
7:30～19:00(L.O.18:30)
定休日
土曜日、日曜日、祝日"
56,
57,"営業時間
10:00～19:00
定休日
土曜日、日曜日、祝日"
58,"営業時間
[月～土] 12:00～23:00 [日・祝] 12:00～21:00
日曜営業
定休日
無休"
59,"営業時間
11:00～21:00"
60,
61,"営業時間
［月～金］6:30～22:00［土・日・祝］8:00～22:00
日曜営業
定休日
無休（臨時休業あり）"
62,"営業時間
[月～金]6:45～20:00[土・日]8:00～18:00
日曜営業
定休日
無休"
63,"営業時間
12:00～18:00
定休日
水曜・土日祝"
64,"営業時間
[平日]　7:30-21:00[土]　8:00-21:00[日祝]　8:00-21:00
日曜営業"
65,"営業時間
［月～金］7:00～19:00［土］8:00～18:00
定休日
日曜日、祝日"
66,"営業時間
[平日]7:00～22:00[土]9:00～22:00[日・祝]9:00～21:00
日曜営業
定休日
新丸の内ビルの休館日に準ずる"
67,
68,"営業時間
［月～金]6:45～20:00［土］7:30～19:00［日・祝］8:00～19:00 
日曜営業
定休日
無休"
69,"営業時間
[月～土] 7:00～22:00[日・祝] 7:00～21:30 
日曜営業
定休日
なし"
70,"営業時間
月～金12:00～18:00
定休日
土・日・祝"
71,"営業時間
7:00～21:00
定休日
日祝"
72,"営業時間
［月～金］7:00～21:00［土・日・祝］7:00～19:00
日曜営業
定休日
不定休"
73,"営業時間
11:30～21:00(L.O.20:00)
日曜営業
定休日
無休"
74,
75,"営業時間
[平日]7:00～22:30[土曜]7:00～22:00[日祝]7:00～21:00
日曜営業
定休日
年中無休"
76,"営業時間
[月～金]7:30～18:30[土]8:30～18:30
定休日
日曜日、祝日"
77,"営業時間
［月～金］8:00～19:00
定休日
土・日・祝祭日"
78,"営業時間
11:00～21:00（L.O.20:30）
日曜営業
定休日
ルミネ有楽町店に準ずる"
79,"営業時間
[月～金]（平日のみ）7:30～22:00[土・日・祝]8:00～19:00
日曜営業
定休日
なし"
80,"営業時間
[月～金]6:30～21:00[土・日・祝]8:00～19:00
日曜営業
定休日
無休"
81,"営業時間
7:00～22:00
日曜営業
定休日
無休"
82,"営業時間
[月～金]7:00～21:00[土・日・祝]8:00～21:00
日曜営業
定休日
無休"
83,"営業時間
11:00～22:00〔土･日･祝〕10:00～22:00
日曜営業
定休日
無休"
84,"営業時間
［月～土］7:30～22:00［日・祝］8:00～22:00
日曜営業
定休日
なし"
