line_cd,station_cd1,station_cd2
22011,2201102,2201103
22011,2201103,2201105
22011,2201105,2201106
22011,2201106,2201107
22011,2201107,2201108
22012,2201201,2201202
22012,2201202,2201203
22012,2201203,2201204
22012,2201204,2201205
22012,2201205,2201206
23001,2300101,2300102
23001,2300102,2300103
23001,2300103,2300104
23001,2300104,2300105
23001,2300105,2300106
23001,2300106,2300107
23001,2300107,2300108
23001,2300108,2300109
23001,2300109,2300110
23001,2300110,2300111
23001,2300111,2300112
23002,2300201,2300202
23002,2300202,2300203
23002,2300203,2300204
23002,2300204,2300205
23002,2300205,2300206
23002,2300206,2300207
23003,2300301,2300302
23003,2300302,2300303
23006,2300601,2300602
23006,2300602,2300603
23006,2300603,2300604
24001,2400101,2400104
24001,2400104,2400105
24001,2400105,2400106
24001,2400106,2400107
24001,2400107,2400108
24001,2400108,2400109
24001,2400109,2400110
24001,2400110,2400111
24001,2400111,2400112
24001,2400112,2400113
24001,2400113,2400114
24001,2400114,2400115
24001,2400115,2400116
24001,2400116,2400117
24001,2400117,2400118
24001,2400118,2400119
24001,2400119,2400120
24001,2400120,2400121
24001,2400121,2400122
24001,2400122,2400123
24001,2400123,2400124
24001,2400124,2400125
24001,2400125,2400126
24001,2400126,2400127
24001,2400127,2400128
24001,2400128,2400129
24001,2400129,2400130
24001,2400130,2400131
24001,2400131,2400132
24001,2400132,2400133
24001,2400133,2400134
24002,2400201,2400202
24002,2400204,2400205
24002,2400207,2400208
24002,2400208,2400209
24002,2400209,2400210
24002,2400210,2400211
24003,2400301,2400302
24003,2400302,2400303
24003,2400303,2400304
24003,2400304,2400305
24003,2400305,2400306
24003,2400306,2400307
24004,2400401,2400402
24005,2400501,2400502
24006,2400601,2400602
24006,2400602,2400603
24006,2400603,2400604
24006,2400604,2400605
24006,2400605,2400606
24006,2400606,2400607
24006,2400607,2400608
24006,2400608,2400609
24006,2400609,2400610
24006,2400610,2400611
24006,2400611,2400612
24006,2400612,2400613
24006,2400613,2400614
24006,2400614,2400615
24006,2400615,2400616
24006,2400616,2400617
24007,2400701,2400702
24007,2400702,2400703
24007,2400703,2400704
25001,2500101,2500102
25001,2500102,2500103
25001,2500103,2500104
25001,2500104,2500105
25001,2500105,2500106
25001,2500106,2500107
25001,2500107,2500108
25001,2500108,2500109
25001,2500109,2500110
25001,2500110,2500111
25001,2500111,2500112
25001,2500112,2500113
25001,2500113,2500114
25001,2500114,2500115
25001,2500115,2500116
25001,2500116,2500117
25001,2500125,2500126
25001,2500126,2500127
25003,2500306,2500307
25003,2500307,2500308
26001,2600101,2600102
26001,2600102,2600103
26001,2600103,2600104
26001,2600104,2600105
26001,2600105,2600106
26001,2600106,2600107
26001,2600107,2600108
26001,2600108,2600109
26002,2600201,2600202
26002,2600202,2600203
26002,2600203,2600204
26002,2600204,2600205
26002,2600205,2600206
26002,2600206,2600207
26002,2600207,2600208
26002,2600208,2600209
26003,2600301,2600302
26003,2600302,2600303
26003,2600303,2600304
26003,2600304,2600305
26003,2600305,2600306
26003,2600306,2600307
26003,2600323,2600324
26003,2600324,2600325
26004,2600401,2600402
26004,2600402,2600403
26004,2600403,2600404
26004,2600404,2600405
26004,2600405,2600406
26004,2600406,2600407
26004,2600407,2600408
26004,2600408,2600409
26004,2600409,2600410
26004,2600410,2600411
26004,2600411,2600412
26004,2600412,2600413
26004,2600413,2600414
26004,2600414,2600415
26005,2600501,2600502
26005,2600502,2600503
26005,2600503,2600504
26005,2600504,2600505
26005,2600505,2600506
26005,2600506,2600507
26005,2600507,2600508
26005,2600508,2600509
26005,2600509,2600510
26005,2600510,2600511
26005,2600511,2600512
26005,2600512,2600513
26005,2600513,2600514
26005,2600514,2600515
26006,2600601,2600602
26006,2600602,2600603
26006,2600603,2600604
26006,2600604,2600605
26006,2600605,2600606
26006,2600606,2600607
26007,2600701,2600702
26007,2600702,2600703
26007,2600703,2600704
26007,2600704,2600705
26007,2600705,2600706
26007,2600706,2600707
26007,2600707,2600708
26007,2600708,2600709
26007,2600709,2600710
27001,2700101,2700102
27001,2700102,2700103
27001,2700103,2700104
27001,2700104,2700105
27001,2700105,2700106
27001,2700106,2700107
27001,2700107,2700108
27001,2700108,2700109
27001,2700109,2700110
27001,2700110,2700111
27001,2700111,2700112
27001,2700112,2700113
27001,2700113,2700114
27002,2700201,2700202
27002,2700202,2700203
27002,2700203,2700204
27002,2700204,2700205
27002,2700205,2700207
27002,2700207,2700206
28001,2800101,2800102
28001,2800102,2800103
28001,2800103,2800104
28001,2800104,2800105
28001,2800105,2800106
28001,2800106,2800107
28001,2800107,2800108
28001,2800108,2800109
28001,2800109,2800110
28001,2800110,2800111
28001,2800111,2800112
28001,2800112,2800113
28001,2800113,2800114
28001,2800114,2800115
28001,2800115,2800116
28001,2800116,2800117
28001,2800117,2800118
28001,2800118,2800119
28002,2800201,2800202
28002,2800202,2800203
28002,2800203,2800204
28002,2800204,2800205
28002,2800205,2800206
28002,2800206,2800207
28002,2800207,2800208
28002,2800208,2800209
28002,2800209,2800210
28002,2800210,2800211
28002,2800211,2800212
28002,2800212,2800213
28002,2800213,2800214
28002,2800214,2800215
28002,2800215,2800216
28002,2800216,2800217
28002,2800217,2800218
28002,2800218,2800219
28002,2800219,2800220
28002,2800220,2800221
28002,2800220,2800226
28002,2800221,2800222
28002,2800222,2800223
28002,2800223,2800224
28002,2800224,2800225
28002,2800226,2800227
28002,2800227,2800228
28003,2800301,2800302
28003,2800302,2800303
28003,2800303,2800304
28003,2800304,2800305
28003,2800305,2800306
28003,2800306,2800307
28003,2800307,2800308
28003,2800308,2800309
28003,2800309,2800310
28003,2800310,2800311
28003,2800311,2800312
28003,2800312,2800313
28003,2800313,2800314
28003,2800314,2800315
28003,2800315,2800316
28003,2800316,2800322
28003,2800317,2800318
28003,2800318,2800319
28003,2800319,2800320
28003,2800320,2800321
28003,2800322,2800317
28004,2800401,2800402
28004,2800402,2800403
28004,2800403,2800404
28004,2800404,2800405
28004,2800405,2800406
28004,2800406,2800407
28004,2800407,2800408
28004,2800408,2800409
28004,2800409,2800410
28004,2800410,2800411
28004,2800411,2800412
28004,2800412,2800413
28004,2800413,2800414
28004,2800414,2800415
28004,2800415,2800416
28004,2800416,2800417
28005,2800501,2800502
28005,2800502,2800503
28005,2800503,2800504
28005,2800504,2800505
28005,2800505,2800506
28005,2800506,2800507
28005,2800507,2800508
28005,2800508,2800509
28005,2800509,2800510
28005,2800510,2800511
28005,2800511,2800512
28005,2800512,2800513
28005,2800513,2800514
28005,2800514,2800515
28005,2800515,2800516
28005,2800516,2800517
28005,2800517,2800518
28005,2800518,2800519
28005,2800519,2800520
28006,2800602,2800603
28006,2800603,2800604
28006,2800604,2800605
28006,2800605,2800606
28006,2800606,2800607
28006,2800607,2800608
28006,2800608,2800609
28006,2800609,2800610
28006,2800610,2800611
28006,2800611,2800612
28006,2800612,2800613
28006,2800613,2800614
28006,2800614,2800615
28006,2800615,2800616
28006,2800616,2800617
28006,2800617,2800618
28006,2800618,2800619
28006,2800619,2800620
28006,2800620,2800621
28006,2800621,2800622
28006,2800622,2800623
28006,2800623,2800624
28008,2800801,2800802
28008,2800802,2800803
28008,2800803,2800804
28008,2800804,2800805
28008,2800805,2800806
28008,2800806,2800807
28008,2800807,2800808
28008,2800808,2800809
28008,2800809,2800810
28008,2800810,2800811
28008,2800811,2800814
28008,2800812,2800813
28008,2800814,2800812
28009,2800901,2800902
28009,2800902,2800903
28009,2800903,2800904
28009,2800904,2800905
28009,2800905,2800906
28009,2800906,2800907
28009,2800907,2800908
28009,2800908,2800909
28009,2800909,2800910
28009,2800910,2800911
28009,2800911,2800912
28009,2800912,2800913
28009,2800913,2800914
28009,2800914,2800915
28009,2800915,2800916
28009,2800916,2800917
28009,2800917,2800918
28009,2800918,2800919
28010,2801002,2801003
28010,2801003,2801004
28010,2801004,2801005
28010,2801005,2801006
28010,2801006,2801007
28010,2801007,2801008
28010,2801008,2801009
28010,2801009,2801010
28010,2801010,2801011
28010,2801011,2801012
28010,2801012,2801013
28010,2801013,2801014
28010,2801014,2801015
28010,2801015,2801016
29003,2900303,2900304
29003,2900304,2900305
29003,2900305,2900306
29003,2900306,2900307
99301,9930101,9930102
99301,9930101,9930129
99301,9930102,9930103
99301,9930103,9930104
99301,9930104,9930105
99301,9930105,9930106
99301,9930106,9930107
99301,9930107,9930108
99301,9930108,9930109
99301,9930109,9930110
99301,9930110,9930111
99301,9930111,9930112
99301,9930112,9930113
99301,9930113,9930114
99301,9930114,9930115
99301,9930115,9930116
99301,9930116,9930117
99301,9930117,9930118
99301,9930118,9930119
99301,9930119,9930120
99301,9930120,9930121
99301,9930121,9930122
99301,9930122,9930123
99301,9930123,9930124
99301,9930124,9930125
99301,9930125,9930126
99301,9930126,9930127
99301,9930127,9930128
99301,9930128,9930101
99301,9930129,9930130
99301,9930130,9930131
99301,9930131,9930132
99301,9930132,9930133
99301,9930133,9930134
99301,9930134,9930135
99301,9930135,9930136
99301,9930136,9930137
99301,9930137,9930138
99302,9930201,9930202
99302,9930202,9930203
99302,9930203,9930204
99302,9930204,9930205
99302,9930205,9930206
99302,9930206,9930207
99302,9930207,9930208
99302,9930208,9930209
99302,9930209,9930210
99302,9930210,9930211
99302,9930211,9930212
99302,9930212,9930213
99302,9930213,9930214
99302,9930214,9930215
99302,9930215,9930216
99302,9930216,9930217
99302,9930217,9930218
99302,9930218,9930219
99302,9930219,9930220
99303,9930301,9930302
99303,9930302,9930303
99303,9930303,9930304
99303,9930304,9930305
99303,9930305,9930306
99303,9930306,9930307
99303,9930307,9930308
99303,9930308,9930309
99303,9930309,9930310
99303,9930310,9930311
99303,9930311,9930312
99303,9930312,9930313
99303,9930313,9930314
99303,9930314,9930315
99303,9930315,9930316
99303,9930316,9930317
99303,9930317,9930318
99303,9930318,9930319
99303,9930319,9930320
99303,9930320,9930321
99303,9930321,9930322
99303,9930322,9930323
99303,9930323,9930324
99303,9930324,9930325
99303,9930325,9930326
99303,9930326,9930327
99304,9930401,9930402
99304,9930402,9930403
99304,9930403,9930404
99304,9930404,9930405
99304,9930405,9930406
99304,9930406,9930407
99304,9930407,9930408
99304,9930408,9930409
99304,9930409,9930410
99304,9930410,9930411
99304,9930411,9930412
99304,9930412,9930413
99304,9930413,9930414
99304,9930414,9930415
99304,9930415,9930416
99304,9930416,9930417
99304,9930417,9930418
99304,9930418,9930419
99304,9930419,9930420
99305,9930501,9930502
99305,9930502,9930503
99305,9930503,9930504
99305,9930504,9930505
99305,9930505,9930506
99305,9930506,9930507
99305,9930507,9930508
99305,9930508,9930509
99305,9930509,9930510
99305,9930510,9930511
99305,9930511,9930512
99305,9930512,9930513
99305,9930513,9930514
99305,9930514,9930515
99305,9930515,9930516
99305,9930516,9930517
99305,9930517,9930518
