genre,store_name,business_hours,address,url,Cleaned_Address,Longitude,Latitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ガソリンスタンド,日野万願寺SS / ネクサスエナジー(株),['0:00~23:59'],東京都日野市石田2-2-5,N/A,東京都日野市石田2-2-5,139.420364,35.669083,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,多摩公園SS / ネクサスエナジー(株),['08:00~21:00'],東京都多摩市落合2-1-1,N/A,東京都多摩市落合2-1-1,139.429001,35.621796,['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00']
ガソリンスタンド,早稲田SS / ネクサスエナジー(株),['08:00~19:00'],東京都新宿区西早稲田2-2-2,N/A,東京都新宿区西早稲田2-2-2,139.716339,35.706806,['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00']
ガソリンスタンド,西立川SS / ネクサスエナジー(株),['07:00~22:00'],東京都昭島市東町3-5-17,N/A,東京都昭島市東町3-5-17,139.391861,35.70084,['07:00~22:00'],['07:00~22:00'],['07:00~22:00'],['07:00~22:00'],['07:00~22:00'],['07:00~22:00'],['07:00~22:00']
ガソリンスタンド,オブリステーション大泉 / 三愛リテールサービス(株),['0:00~23:59'],東京都練馬区大泉学園町4-20-16,N/A,東京都練馬区大泉学園町4-20-16,139.587921,35.764324,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,小菅SS / 日東鉱油(有),['07:00~20:30'],東京都葛飾区小菅3-11-12,N/A,東京都葛飾区小菅3-11-12,139.826767,35.756332,['07:00~20:30'],['07:00~20:30'],['07:00~20:30'],['07:00~20:30'],['07:00~20:30'],['07:00~20:30'],['07:00~20:30']
ガソリンスタンド,セルフ八広 / SKM(株),['07:00~21:00'],東京都墨田区八広4-29-8,N/A,東京都墨田区八広4-29-8,139.830124,35.72406,['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00']
ガソリンスタンド,セルフ竹ノ塚 / (株)三京石油販売,['0:00~23:59'],東京都足立区東伊興1-3-8,N/A,東京都足立区東伊興1-3-8,139.783493,35.801743,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,ニコニコステーション堀之内 / (株)MIC,['07:00~21:00'],東京都八王子市堀之内2-12-3,N/A,東京都八王子市堀之内2-12-3,139.401688,35.629181,['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00']
ガソリンスタンド,秋留台SS / (有)杉田燃料店,['07:00~21:00'],東京都あきる野市二宮669-5,N/A,東京都あきる野市二宮669-5,139.302917,35.729221,['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00']
ガソリンスタンド,環七本一色SS / 太陽鉱油(株),['0:00~23:59'],東京都江戸川区本一色3-42,N/A,東京都江戸川区本一色3-42,139.874237,35.722469,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,東京ゲートブリッジSS / 太陽鉱油(株),['0:00~23:59'],東京都江東区新木場1-10-15,N/A,東京都江東区新木場1-10-15,139.836929,35.644024,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,城南島SS / 太陽鉱油(株),['0:00~23:59'],東京都大田区城南島7-1-5,N/A,東京都大田区城南島7-1-5,139.769394,35.581272,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,セルフ篠崎 / (株)三京石油販売,['0:00~23:59'],東京都江戸川区篠崎町3-23-8,N/A,東京都江戸川区篠崎町3-23-8,139.913605,35.705002,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,本田SS / 大成砿油(株),['08:00~20:00'],東京都葛飾区四つ木4-30-22,N/A,東京都葛飾区四つ木4-30-22,139.834427,35.741489,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,北斎通りSS / 大成砿油(株),['08:00~19:00'],東京都墨田区亀沢3-10-6,N/A,東京都墨田区亀沢3-10-6,139.803574,35.69717,['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00']
ガソリンスタンド,玉川SS / 大同興業(株),['6:00~20:30'],東京都世田谷区野毛3-21-11,N/A,東京都世田谷区野毛3-21-11,139.635483,35.605251,['6:00~20:30'],['6:00~20:30'],['6:00~20:30'],['6:00~20:30'],['6:00~20:30'],['6:00~20:30'],['6:00~20:30']
ガソリンスタンド,オートジョイセルフ河辺SS / 垣見油化(株),['08:00~20:00'],東京都青梅市河辺町10-5-10,N/A,東京都青梅市河辺町10-5-10,139.287659,35.785046,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,Dr.Drive セルフ仙川SS / 二引(株),['0:00~23:59'],東京都調布市仙川町2-19-5,N/A,東京都調布市仙川町2-19-5,139.582962,35.6632,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,Dr.Drive 赤堤SS / 日新商事(株),['08:00~20:00'],東京都世田谷区赤堤3-24-21,N/A,東京都世田谷区赤堤3-24-21,139.637863,35.657249,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
