genre,store_name,business_hours,address,url,Cleaned_Address,Latitude,Longitude
居酒屋,Dining Bar OHANA,"営業時間
【月～木】18:00～翌3:00【金・土】18:00～LAST【日】18:00～翌1:00
日曜営業
定休日
無休(場合により臨時休業あり)",東京都東久留米市本町2-5-1 オーヴ０２ビル１F,https://tabelog.com/tokyo/A1328/A132802/13126393/,東京都東久留米市本町2-5-1 オーヴ０２ビル１F,139.528961,35.760376
居酒屋,たみ家,,東京都東久留米市滝山4-1-20 滝山センタービル 2F,https://tabelog.com/tokyo/A1328/A132804/13167352/,東京都東久留米市滝山4-1-20 滝山センタービル 2F,139.504349,35.745548
居酒屋,憧志,,東京都武蔵村山市大南3-132-9,https://tabelog.com/tokyo/A1329/A132901/13203763/,東京都武蔵村山市大南3-132-9,139.399277,35.735989
居酒屋,KOMEYA,,東京都武蔵村山市大南1-13-9,https://tabelog.com/tokyo/A1329/A132901/13283990/,東京都武蔵村山市大南1-13-9,139.394745,35.742794
居酒屋,ふきのとう,"営業時間
17:00～23:00(L.O.22:30)",東京都武蔵村山市大南2-31-1 セントラル 1F,https://tabelog.com/tokyo/A1328/A132805/13283222/,東京都武蔵村山市大南2-31-1 セントラル 1F,139.402451,35.741684
居酒屋,酒処 あかり,"営業時間
17:00～23:30
日曜営業
定休日
火曜日、水曜日",東京都武蔵村山市中央2-47-1,https://tabelog.com/tokyo/A1328/A132805/13244098/,東京都武蔵村山市中央2-47-1,139.398651,35.752872
居酒屋,居酒屋よっちゃん,"定休日
日曜日",東京都武蔵村山市三ツ藤1-19-1,https://tabelog.com/tokyo/A1329/A132901/13065632/,東京都武蔵村山市三ツ藤1-19-1,139.379715,35.752464
居酒屋,キクゾー,,東京都武蔵村山市本町1-3-1,https://tabelog.com/tokyo/A1328/A132805/13105785/,東京都武蔵村山市本町1-3-1,139.386688,35.755188
居酒屋,居酒や 美桜,,東京都武蔵村山市学園3-51-1,https://tabelog.com/tokyo/A1328/A132805/13246782/,東京都武蔵村山市学園3-51-1,139.403778,35.746284
居酒屋,よりみち大衆酒場,,東京都武蔵村山市三ツ藤1-15-1,https://tabelog.com/tokyo/A1328/A132805/13085100/,東京都武蔵村山市三ツ藤1-15-1,139.380676,35.752403
居酒屋,居酒屋 ゆず,,東京都武蔵村山市3-99-11,https://tabelog.com/tokyo/A1329/A132901/13189745/,東京都武蔵村山市3-99-11,139.371475,35.758183
居酒屋,なら山,,東京都武蔵村山市大南5-70-5,https://tabelog.com/tokyo/A1328/A132805/13080671/,東京都武蔵村山市大南5-70-5,139.410843,35.74044
居酒屋,居酒屋ひさ,,東京都武蔵村山市大南3-27-10,https://tabelog.com/tokyo/A1329/A132901/13180824/,東京都武蔵村山市大南3-27-10,139.401581,35.736134
居酒屋,居酒屋 あお吉,,東京都武蔵村山市大南3-99,https://tabelog.com/tokyo/A1329/A132901/13222506/,東京都武蔵村山市大南3-99,139.402206,35.73555
居酒屋,きし菜,,東京都武蔵村山市岸1-26-6,https://tabelog.com/tokyo/A1330/A133002/13105783/,東京都武蔵村山市岸1-26-6,139.366302,35.761978
居酒屋,バウハウス,,東京都武蔵村山市本町2-88-1,https://tabelog.com/tokyo/A1328/A132805/13105786/,東京都武蔵村山市本町2-88-1,139.381546,35.752987
居酒屋,食酒家 加藤,"営業時間
17:00～23:00(L.O.22:00)
日曜営業
定休日
木曜日",東京都武蔵村山市学園3-50-7 ユーアイビル 1F,https://tabelog.com/tokyo/A1328/A132805/13270262/,東京都武蔵村山市学園3-50-7 ユーアイビル 1F,139.404221,35.746494
居酒屋,居酒屋大将 伊奈平店,,東京都武蔵村山市伊奈平5-58-20,https://tabelog.com/tokyo/A1329/A132901/13085780/,東京都武蔵村山市伊奈平5-58-20,139.376099,35.739201
居酒屋,鳥天,"営業時間
月〜土 17:00〜23:00
定休日
日曜日",東京都武蔵村山市大南1-128-1,https://tabelog.com/tokyo/A1329/A132901/13160237/,東京都武蔵村山市大南1-128-1,139.393707,35.741009
居酒屋,だいせん屋,,東京都武蔵村山市学園3-41-4,https://tabelog.com/tokyo/A1328/A132805/13105782/,東京都武蔵村山市学園3-41-4,139.406372,35.746437
居酒屋,陸路や,"営業時間

日曜営業
定休日
金曜日",東京都武蔵村山市大南3-72-1,https://tabelog.com/tokyo/A1328/A132805/13229639/,東京都武蔵村山市大南3-72-1,139.405457,35.735794
