genre,store_name,business_hours,address,url
居酒屋,なら山,,東京都武蔵村山市大南5-70-5,https://tabelog.com/tokyo/A1328/A132805/13080671/
居酒屋,居酒屋ひさ,,東京都武蔵村山市大南3-27-10,https://tabelog.com/tokyo/A1329/A132901/13180824/
居酒屋,居酒屋 あお吉,,東京都武蔵村山市大南3-99,https://tabelog.com/tokyo/A1329/A132901/13222506/
居酒屋,きし菜,,東京都武蔵村山市岸1-26-6,https://tabelog.com/tokyo/A1330/A133002/13105783/
居酒屋,バウハウス,,東京都武蔵村山市本町2-88-1,https://tabelog.com/tokyo/A1328/A132805/13105786/
居酒屋,食酒家 加藤,"営業時間
17:00～23:00(L.O.22:00)
日曜営業
定休日
木曜日",東京都武蔵村山市学園3-50-7 ユーアイビル 1F,https://tabelog.com/tokyo/A1328/A132805/13270262/
居酒屋,居酒屋大将 伊奈平店,,東京都武蔵村山市伊奈平5-58-20,https://tabelog.com/tokyo/A1329/A132901/13085780/
居酒屋,鳥天,"営業時間
月〜土 17:00〜23:00
定休日
日曜日",東京都武蔵村山市大南1-128-1,https://tabelog.com/tokyo/A1329/A132901/13160237/
居酒屋,だいせん屋,,東京都武蔵村山市学園3-41-4,https://tabelog.com/tokyo/A1328/A132805/13105782/
居酒屋,陸路や,"営業時間

日曜営業
定休日
金曜日",東京都武蔵村山市大南3-72-1,https://tabelog.com/tokyo/A1328/A132805/13229639/
居酒屋,赤レンガ個室ビストロ RENGARO 町田店,"営業時間
【月〜日】16:00〜24:00
日曜営業
定休日
不定休※12月31日~1月3日は休業日となります。",東京都町田市森野1-39-1 グランドゥールビル 5F-A,https://tabelog.com/tokyo/A1327/A132701/13268479/
居酒屋,町田 個室居酒屋 杏,"営業時間
16:00～24:00
日曜営業
定休日
無　（ビルの休館日は除く）",東京都町田市原町田6-11-11 T-wing Machida 5F-B,https://tabelog.com/tokyo/A1327/A132701/13263556/
居酒屋,完全個室居酒屋 串ばってん 町田店,,東京都町田市原町田6-10-17 萩原ビル B1F,https://tabelog.com/tokyo/A1327/A132701/13286251/
居酒屋,博多串焼き・野菜巻きの店 なまいき 町田店,"営業時間
月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）※12時～16時まで予約制で昼宴会が可能です。深夜宴会もご相談に応じて承っております！※コース利用のお客様のキャンセル料は前々日30％、前日50％、当日は全額となります。※アラカルト利用の3日以内のキャンセルに関しましては、キャンセル料お一人様2,000円頂戴いたします。
定休日
全日営業",東京都町田市原町田6-10-10 第35東京ビル 2F,https://tabelog.com/tokyo/A1327/A132701/13266899/
居酒屋,TRY BAR,"営業時間
［月〜金・土］17:00～23:00(L.O.22:30)［日・祝］16:00〜22:00(L.O.21:30)※緊急事態宣言やその他、営業時間短縮の要請があった場合、行政に従う時間で営業いたします。
日曜営業
定休日
年末年始",東京都町田市原町田6-11-6 永楽苑ビル,https://tabelog.com/tokyo/A1327/A132701/13055611/
居酒屋,九州料理 個室居酒屋 喜八,"営業時間
16:30～24:00（L.O.23:00、ドリンクL.O.23:30）※時間外でのご宴会もお気軽にご相談ください。昼宴会は貸切のお客様に限りご利用可能です。【12月営業時間変更のお知らせ】12月中の土日、12/31は15:00～翌0:00、12/26～12/30の期間は営業時間15:00～翌5:00となります。
日曜営業
定休日
定休日無し◇お会計20%オフクーポンや期間限定コースが2500円～など自慢の創作和食をお楽しみいただけるプランを多数ご用意しております。",東京都町田市原町田6-10-10 第35東京ビル 3F,https://tabelog.com/tokyo/A1327/A132701/13283428/
居酒屋,土風炉 町田西口店,"営業時間
[月～金]　ランチ11:30～15:00ディナー17:00～23:00[土]通し営業11：30～23:00[日・祝]通し営業11:30～2２:00（ＬＯ2１：30）
日曜営業
定休日
無休",東京都町田市原町田6-9-18 TNスクエア 5Ｆ,https://tabelog.com/tokyo/A1327/A132701/13028340/
居酒屋,東北うまいもん郷土料理 個室居酒屋 奥羽本荘 町田店,"営業時間
全日12:00~24:00休まず営業いたします！コロナ対策を徹底してお待ちしております。
日曜営業
定休日
年中無休",東京都町田市原町田6-10-10 第35東京ビル 5F,https://tabelog.com/tokyo/A1327/A132701/13262218/
居酒屋,軍鶏 枩井,"営業時間
火～日、祝日、祝前日: 16:30~23:30（料理L.O. 22:30 ドリンクL.O. 23:00）
定休日
年末年始",東京都町田市森野1-37-10 きめたハウジング第23ビル 2F,https://tabelog.com/tokyo/A1327/A132701/13290482/
居酒屋,個室肉居酒屋 町田屋 町田駅前店,"営業時間
[月～日]16:00～24:00
日曜営業
定休日
無し",東京都町田市森野1-39-1 グランドゥールビル 5F,https://tabelog.com/tokyo/A1327/A132701/13268480/
居酒屋,ゆるり。 酒槽,"営業時間
[月～木・日] 17:00～23:30(L.O.22:30　ﾄﾞﾘﾝｸ23：00)[金・土・祝前日] 17:00～翌1:00(L.O.24:00　ﾄﾞﾘﾝｸ24：30)
日曜営業
定休日
無休",東京都町田市原町田6-21-17 Ｆビル　Ｂ１Ｆ,https://tabelog.com/tokyo/A1327/A132701/13053524/
居酒屋,炉ばた情緒かっこ 町田店,"営業時間
【月～木】17:00～24:00（LO=23:30）【金、祝前日】17:00～25:00（LO=24:30）【土】　16:00～25:00（LO=24:30）【日、祝日】16:00～24:00（LO=23:30）～12月・年末年始の営業時間のご案内～毎日＝16:00～OPENとなります。1/2、1/3＝16:00～25:00まで。※詳細については店舗までお問い合わせ下さい。
日曜営業
定休日
年中無休。※12/31,1/1は店休日となります。※ビルの休館日に準ずる。",東京都町田市原町田6-10-15 新光町田ビル 3F,https://tabelog.com/tokyo/A1327/A132701/13140396/
居酒屋,きばらし,"営業時間
月曜日〜土曜日17時〜0時(L.Oフード23時、ドリンク23時半)深夜帯0時〜5時
定休日
日曜日",東京都町田市原町田6-15-16 コマヤビル 2F,https://tabelog.com/tokyo/A1327/A132701/13271847/
居酒屋,鉄板 薊 町田店,"営業時間
［月～日、祝日、祝前日］【ランチ】　12:00~15:00　※コースのみ【ディナー】16:00～24:00（料理L.O. 23:00 ドリンクL.O. 23:30）
日曜営業
定休日
不定休",東京都町田市原町田6-20-10 中野屋ビル 2F,https://tabelog.com/tokyo/A1327/A132701/13272755/
居酒屋,炉端とおでん 呼炉凪来 町田店,"営業時間
16:00〜0:00
日曜営業
定休日
不定休",東京都町田市森野1-13-1 QSビル 4F,https://tabelog.com/tokyo/A1327/A132701/13288165/
居酒屋,やまよこ鮮魚店 町田店,"営業時間
【月～金・祝前日】　16時～２4時(ラストオーダー23時)【土・日・祝】　12時～２4時(ラストオーダー23時)時期により表記と異なる場合がございます。詳しくはお問い合わせくださいませ。
日曜営業
定休日
なし",東京都町田市原町田4-5-14 1F,https://tabelog.com/tokyo/A1327/A132701/13219437/
居酒屋,焼売のジョー 町田店,"営業時間
open12:00close 28:00（L.O フード27:00、27:30）
日曜営業
定休日
無休 領収書にインボイス番号を印字しております。",東京都町田市原町田6-11-13 1F-B,https://tabelog.com/tokyo/A1327/A132701/13249382/
居酒屋,はねあげ 町田本店,"営業時間
[営業時間](月～日)24時間営業！！
日曜営業
定休日
無休",東京都町田市原町田6-11-16,https://tabelog.com/tokyo/A1327/A132701/13206177/
居酒屋,39鳥場大衆酒場,"営業時間
11:00～翌1:00（L.O.24:00、ドリンクL.O.24:30）
日曜営業
定休日
無",東京都町田市中町1-2-3 新光中町ビル 1F,https://tabelog.com/tokyo/A1327/A132701/13289438/
居酒屋,2000円 食べ飲み放題 肉ときどきレモンサワー。 町田駅前店,"営業時間
［全日］16:00～23:30(Food L.O.22:30/Drink L.O.23:00)※予告なく変更･休業となる場合がございます。予めご了承ください。
日曜営業
定休日
無（※12/31～1/1を除く）",東京都町田市原町田6-10-17 荻原ビル 4F,https://tabelog.com/tokyo/A1327/A132701/13269924/
