セルフ八王子高倉SS / 日新商事(株),東京都八王子市高倉町51-9,24時間営業
羽村ニュータウンSS / (株)NSコーポレーション,東京都羽村市栄町2-9-23,08:00 - 20:00
オートジョイ八王子SS / 垣見油化(株),東京都八王子市楢原町436-3,08:00 - 20:00
Dr.Drive セルフ田園調布南SS / 日新商事(株),東京都大田区東嶺町41-17,24時間営業
Dr.Drive オートジョイ環七馬込SS / 垣見油化(株),東京都大田区東馬込2-19-7,08:00 - 20:00
Dr.Drive 中目黒SS / 二引(株),東京都目黒区中目黒3-1-1,07:30 - 20:00
青梅SS  / (株)NSコーポレーション,東京都青梅市河辺町6-30-9,08:30 - 19:30
中野SS / 渋谷石油(株),東京都中野区上高田2-1-7,07:00 - 22:00
羽村SS  / (株)NSコーポレーション,東京都羽村市神明台2-2-9,08:00 - 20:00
砂川SS / (株)NSコーポレーション,東京都立川市砂川町4-18-1,24時間営業
Dr.Drive 蓮沼SS / 二引(株),東京都大田区西蒲田7-16-3,08:00 - 19:00
Dr.Drive 北馬込SS / 日新商事(株),東京都大田区北馬込1-33-5,08:00 - 20:00
Dr.Drive 新田端SS / 日新商事(株),東京都北区田端新町3-13-9,08:00 - 21:00
Dr.Drive 王子SS / 日新商事(株),東京都北区王子1-27-12,08:00 - 20:00
Dr.Drive 高円寺SS / 日新商事(株),東京都杉並区高円寺南4-13-1,07:00 - 21:00
Dr.Drive 日野万願寺SS / (株)CAPITA,東京都日野市万願寺4-4-5,
プレミアムラウンジ戸越SS / 旭商事(株),東京都品川区平塚1-21-10,07:00 - 20:00
Dr.Drive オートジョイ吉祥寺SS / 垣見油化(株),東京都武蔵野市吉祥寺南町3-5-3,08:00 - 21:00
淡路町SS / 二引(株),東京都千代田区神田淡路町1-5,07:30 - 19:30
湯島SS / (株)CAPITA,東京都文京区湯島3-14-10,08:00 - 20:00
佃大橋SS / (株)CAPITA,東京都中央区月島1-3-9,09:00 - 20:00
巣鴨SS / (株)CAPITA,東京都豊島区巣鴨1-11-1,08:00 - 20:00
宮前SS / 日新商事(株),東京都杉並区宮前1-17-29,08:00 - 20:00
Dr.Drive 入船桜川SS / 日新商事(株),東京都中央区入船1-3-8,08:00 - 19:00
Dr.Drive 余丁SS / 日新商事(株),東京都新宿区余丁町8-14,07:30 - 20:00
Dr.Drive オートジョイ駒込SS / 垣見油化(株),東京都文京区本駒込5-38-7,08:30 - 19:30
飯田橋SS / 二引(株),東京都文京区後楽1-9-7,07:30 - 20:00
上野山伏町SS / 山田石油(株),東京都台東区北上野2-12-10,08:00 - 20:00
Dr.Drive 井草店 / (株)井口鉱油,東京都杉並区井草4-17-7,24時間営業
