,genre,store_name,business_hours,address,url
0,居酒屋,個室居酒屋 酒蔵 季 錦糸町,"営業時間
月～日]11:00～15:0015:00～22:00(L.O)[金・祝前]11:00～22:30(L.O)
日曜営業
定休日
年中無休  12月30. 31日 　1月1日休業",東京都墨田区錦糸3-2-1 アルカイースト　B1F,https://tabelog.com/tokyo/A1312/A131201/13171944/
1,居酒屋,酒陣 一鐡 錦糸町南口店,"営業時間
【月・水・木・金・祝前日】16:00～翌5:00（L.O.4:00、ドリンクL.O.4:30）【火】16:00～23:30（L.O.23:00、ドリンクL.O.23:00）【土・日・祝日】13:00～翌5:00（L.O.4:00、ドリンクL.O.4:30）※食材の仕入れ状況により、閉店時間を早める場合がございます。
日曜営業
定休日
なし",東京都墨田区江東橋3-11-5 東州ビル 1F,https://tabelog.com/tokyo/A1312/A131201/13287965/
2,居酒屋,個室居酒屋 米助 錦糸町店,"営業時間
月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）※お昼は事前予約制になります。大人数でのフロア貸切も対応可能!!昼宴会のご予約もお気軽にご相談下さい♪錦糸町にある個室完備の隠れ家居酒屋。誕生日・記念日のサプライズもお手伝いします！日曜営業
日曜営業
定休日
年中無休",東京都墨田区江東橋4-28-2 下町ビル 1F,https://tabelog.com/tokyo/A1312/A131201/13176135/
3,居酒屋,焼き鳥 肉寿司 食べ放題 飲み放題 個室居酒屋 鳥物語 錦糸町店,"営業時間
全日13:00～24:00（L.O.23:00）
日曜営業
定休日
無休",東京都墨田区江東橋4-13-14 プラザG5ビル 2F,https://tabelog.com/tokyo/A1312/A131201/13256120/
4,居酒屋,ななや,"営業時間
月～土17：00～翌5：00(LO.4：00)日16:00~24:00（LO.23:30)
日曜営業
定休日
無し",東京都墨田区江東橋4-18-1 ミナトビル 1F,https://tabelog.com/tokyo/A1312/A131201/13196302/
5,居酒屋,藏 みそら屋 錦糸町,"営業時間
［ランチ］月〜金11:30〜14:00（L.O.13:30)［ディナー］月〜土17:00～23:00（L.O.22:00、ドリンクL.O.22:30）日・祝日17:00〜22:00（L.O.21:00、ドリンクL.O.21:30）
日曜営業
定休日
無休（年末年始）",東京都墨田区錦糸2-7-1,https://tabelog.com/tokyo/A1312/A131201/13165273/
6,居酒屋,珉珉 錦糸町北口店,"営業時間
[月～金]11:30～15:00(L.O 14:30) 17:00～23:00(L.O 22:20)[土]11:30～22:30(L.O 21:50)[日･祝]11:30〜22:00(L.O 21:20)まん延防止措置の発生に伴い、閉店時間は20時となります
定休日
無休",東京都墨田区錦糸3-2-1 アルカイースト　Ｂ１Ｆ,https://tabelog.com/tokyo/A1312/A131201/13029530/
7,居酒屋,炭焼食堂 ロビン その2 錦糸町,"営業時間
17:00～23:00
日曜営業
定休日
不定休",東京都墨田区江東橋4-26-18 Tdgビル 2F,https://tabelog.com/tokyo/A1312/A131201/13285342/
8,居酒屋,マグロスタンダード 錦糸町本店,"営業時間
[月～金]16：00〜24：00[土]13：00〜24：00[日・祝]13：00〜23：00【年末年始の営業時間】12月25日～12月27日15:00～24:00　LO23:0012月28日～12月30日15:00～27:00   LO26:001月4日～1月7日15:00～27:00 LO26:0012月31日～1月3日は店休日になります。
日曜営業
定休日
定休日なし",東京都墨田区江東橋2-15-6 ファーストビル 1F,https://tabelog.com/tokyo/A1312/A131201/13283669/
9,居酒屋,塩専門やきとり鶏だしおでんとり幸,"営業時間
[月～土]17:30～23:00（フードL.O.22:00/ドリンクL.O.22:30)
定休日
日曜日・祝日",東京都墨田区江東橋2-6-14,https://tabelog.com/tokyo/A1312/A131201/13163023/
10,居酒屋,三代目網元 魚鮮水産 本所吾妻橋店,"営業時間
月16:00～23:00火～金11:30～14:00　16:00～23:00土日11:30-23:00
日曜営業
定休日
なし",東京都墨田区吾妻橋2-1-5 ケンマブチ吾妻橋ビル 1F,https://tabelog.com/tokyo/A1312/A131203/13276760/
11,居酒屋,かまくら個室ビストロ KAMAKURA 錦糸町,"営業時間
【月〜金】16:00〜23:00【土・日・祝】16:00〜23:00※営業時間は変更となる場合がございます。23時以降にご来店の場合は、お手数ですが、事前にお問い合わせください。
日曜営業
定休日
12月31日~1月3日は休業日となります。",東京都墨田区江東橋3-11-3 ソシアル錦糸町ビル B1F,https://tabelog.com/tokyo/A1312/A131201/13251517/
12,居酒屋,居酒屋　うまし,"営業時間
月〜金      16:30 - 翌3:00土曜・祝日16:00 - 翌3:00
定休日
日曜日【月曜日が祝日の場合は日曜営業月曜休み】",東京都墨田区江東橋2-7-7,https://tabelog.com/tokyo/A1312/A131201/13153450/
13,居酒屋,錦糸町日本酒バル ふとっぱらや,"営業時間
【火～土】16:00～23:30【日・祝】16:00～23:00
日曜営業
定休日
月曜日・年末年始（2023年12月31日～2024年1月5日）※【12月休業日】4日・5日・24日・25日・31日【1月休業日】1～5日・8日・15日・22日・29日",東京都墨田区錦糸4-6-10 ウッドビレッジ 1F,https://tabelog.com/tokyo/A1312/A131201/13210069/
14,居酒屋,両国八百八町 花の舞 江戸東京博物館前店,"営業時間
【営業時間】11:30～23:0012/30～1/4は営業時間を変更する場合がございます。ご来店の際は店舗までお問い合わせください。
日曜営業
定休日
なし",東京都墨田区亀沢1-1-15,https://tabelog.com/tokyo/A1312/A131201/13193064/
15,居酒屋,大衆酒場 楓,"営業時間
平日　16時～24時土日祝　13時～24時
日曜営業
定休日
12/31〜1/4まで休業　月曜日",東京都墨田区錦糸3-8-12,https://tabelog.com/tokyo/A1312/A131201/13283314/
16,居酒屋,50圓焼鳥 大衆酒場 ぐりどっちん 錦糸町店,"営業時間
[月～木]12:00～24:00[金・土]12:00～翌5:00
日曜営業
定休日
年中無休",東京都墨田区江東橋4-20-5,https://tabelog.com/tokyo/A1312/A131201/13253132/
17,居酒屋,九州 熱中屋 錦糸町 LIVE,"営業時間
【月～金】11:30－14:0017:00－23:00【土日祝】17:00－23:00
日曜営業
定休日
なし",東京都墨田区錦糸3-2-1 アルカイースト B1F,https://tabelog.com/tokyo/A1312/A131201/13183909/
18,居酒屋,個室居酒屋 天の川 錦糸町店,"営業時間
17:00～0:00(L.O 23:30)日曜日定休日(日曜日や営業時間外の団体様のご宴会も承ります。お気軽にお電話ください。)居酒屋 会社の宴会 サークルコンパ 女子会 合コン バースデー 誕生日会 個室 貸切 飲み放題…ぜひご利用ください！
定休日
日曜日（日曜日や営業時間外の団体様のご宴会も承ります。お気軽にお電話ください）",東京都墨田区江東橋4-20-4 エメラルドビル 2F,https://tabelog.com/tokyo/A1312/A131201/13157665/
19,居酒屋,四季の蔵,"営業時間
[月～金]11:30～15:0017:00～23:00　[土・日・祝]11:30～23:00※ご予約・お問い合わせは11：30より承ります。
日曜営業
定休日
無休（※年末年始のみ店休）",東京都墨田区江東橋2-19-1 テルミナウエスト　２Ｆ,https://tabelog.com/tokyo/A1312/A131201/13032821/
20,居酒屋,Smoke Base,"営業時間
［月曜日〜土曜日］17:00～23:302023年7月より、第1・第3・第5、日曜日17時より営業致します！！
日曜営業
定休日
日曜日、祝日",東京都墨田区錦糸3-13-12,https://tabelog.com/tokyo/A1312/A131201/13282616/
21,居酒屋,完全個室居酒屋 鳥錦 錦糸町店,"営業時間
月～日・祝前日・祝日　ディナー　16:00～23:30（L.O.22:30、ドリンクL.O.23:00）
日曜営業
定休日
年中無休",東京都墨田区錦糸3-10-1 ツムラビル 2F 3F,https://tabelog.com/tokyo/A1312/A131201/13109814/
22,居酒屋,元祖やきとり串八珍 両国店,"営業時間
[月～土]16:00～23:00（L.O.フード22:15／ドリンク22:30）
定休日
日曜日・祝日",東京都墨田区両国3-24-15,https://tabelog.com/tokyo/A1312/A131201/13134300/
23,居酒屋,個室居酒屋 大関,"営業時間
15:00～24:00(L.O.23:00)
日曜営業
定休日
年中無休",東京都墨田区江東橋3-8-11 5F,https://tabelog.com/tokyo/A1312/A131201/13271982/
24,居酒屋,零,"営業時間
【火曜～土曜】17:00～23:00（L.O.22:30）【日曜・祝日】17:00～22:00（Ⅼ.O.21:30）
日曜営業
定休日
月曜日(12月は営業）",東京都墨田区江東橋2-8-8 古谷ビル 1F,https://tabelog.com/tokyo/A1312/A131201/13102671/
25,居酒屋,全席個室 鮮や一夜 テルミナ錦糸町駅前店,"営業時間
17:00～23:30 ※営業時間前も宴会可能！(早割・遅割特典有)※公式ホームページにも、分かりやすくお得な情報が満載です!!以下の『お店のホームページ』からお越しください♪
定休日
無",東京都墨田区江東橋2-19-1 テルミナ3 5F,https://tabelog.com/tokyo/A1312/A131201/13188770/
26,居酒屋,マグロと信玄どり 完全個室 伊勢屋 錦糸町店,"営業時間
[月～日・祝日・祝前日]11:00～24:00（L.O.23:00、ドリンクL.O.23:30）■感染対策万全で24時まで営業しております。入店時の検温.アルコール消毒のご協力お願い致します。 ■予告なく営業時間等は変更となる場合がございますので、ご来店される際は店舗までお問い合わせください。■ペット同伴不可
日曜営業
定休日
無休",東京都墨田区錦糸2-4-10 ナカズビル 6F,https://tabelog.com/tokyo/A1312/A131201/13250035/
27,居酒屋,錦糸町 もつ焼のんき,"営業時間
平日　15:00~23:30(L.O.23:00)土日　13:00~23:00(L.O.22:30)
日曜営業
定休日
不定休",東京都墨田区錦糸3-6-1 クリハラビル 1F,https://tabelog.com/tokyo/A1312/A131201/13235450/
28,居酒屋,KICHIRI 錦糸町店,"営業時間
17:00～23:00（ラストオーダー　22:00）
日曜営業
定休日
無休",東京都墨田区江東橋2-19-1 テルミナ３ 6F,https://tabelog.com/tokyo/A1312/A131201/13155524/
