,genre,store_name,business_hours,address,url
0,居酒屋,やっとこ 大塚本店,"営業時間
【火水木】17:00～23:00（L.O22:00 Drink22:00）【金土】17:00〜23:30（L.O23:00 Drink23:00)【日】　15:00〜23:00（L.O22:00 Drink22:00）
日曜営業
定休日
月曜日",東京都豊島区北大塚2-8-6 第2不二ハイツ 1F,https://tabelog.com/tokyo/A1323/A132302/13133969/
1,居酒屋,はかた地どり屋 福栄組合 池袋店,"営業時間
【全日】17:00〜23:00（ドリンク、フード　LO22:00）
日曜営業
定休日
無し（ビルに準ずる）",東京都豊島区東池袋1-21-13 aune池袋 9F,https://tabelog.com/tokyo/A1305/A130501/13162789/
2,居酒屋,東北うまいもん郷土料理 個室居酒屋 奥羽本荘 池袋店,"営業時間
12:00-24:00
日曜営業
定休日
無し",東京都豊島区南池袋1-20-11 森下池袋第五ビル 4F,https://tabelog.com/tokyo/A1305/A130501/13290668/
3,居酒屋,個室居酒屋残心,"営業時間
［月～木］11:30～14:00(ランチタイム)17:00～24:00(L.O.23:00)［金］11:30～14:00(ランチタイム)17:00～25:00(L.O.24:00)［土曜日］16:00～25:00(L.O.24:00)12/30~1/4はお休みとなります。
定休日
日曜・祝日",東京都豊島区南池袋2-26-10 アクティオーレ南池袋　3F,https://tabelog.com/tokyo/A1305/A130501/13172063/
4,居酒屋,食堂 ト酒,"営業時間
18:00～翌 5:00
日曜営業
定休日
水曜日",東京都豊島区池袋2-45-1 アークシティ池袋 1F,https://tabelog.com/tokyo/A1305/A130501/13278572/
5,居酒屋,雪国個室 ビストロ 星空サンシャインTOKYO 池袋店,"営業時間
16:00〜24:00
定休日
無し",東京都豊島区東池袋1-21-13 aune池袋 10F,https://tabelog.com/tokyo/A1305/A130501/13291836/
6,居酒屋,肉問屋直営 食肉市場 とんちゃん焼肉 大王,"営業時間
月～日　11：30～23：00（料理L.O22：30）※平日16時～17時（お店休憩時間）
日曜営業
定休日
年中無休",東京都豊島区西池袋1-18-10,https://tabelog.com/tokyo/A1305/A130501/13247779/
7,居酒屋,KICHIRI RELAX&DINE Esola池袋,"営業時間
ランチタイム　　11:00～15:00（ラストオーダー15:00）カフェタイム　　15:00〜17:00（ラストオーダー17:00）ディナータイム　17:00～23:00（ラストオーダー22:00）（ディナータイムは別途お通し代あり）
日曜営業
定休日
ビルの営業日に準ずる",東京都豊島区西池袋1-12-1 Esola池袋 8F,https://tabelog.com/tokyo/A1305/A130501/13100166/
8,居酒屋,一茶,"営業時間
17:00〜24:00
日曜営業
定休日
なし",東京都豊島区西池袋1-37-16 3F,https://tabelog.com/tokyo/A1305/A130501/13279196/
9,居酒屋,とり勢 大塚駅南口,"営業時間
17:30～22:30 (L.drink 22:00)
日曜営業
定休日
定休無し",東京都豊島区南大塚3-45-7 ラインビル B1F,https://tabelog.com/tokyo/A1323/A132302/13247037/
