,genre,store_name,business_hours,address,url
0,居酒屋,大人の食堂 シロボシ,"営業時間
平日：17時〜24時土日祝：11時半〜24時◆忘年会のご予約がかなり増えております。お早めにお問合せください。担当シゲトウまで。◆営業時間外の宴会可能です。まずはお気軽にご相談ください。◆当店は広い店内&高い天井なので、煙臭くなりません。◆忘年会、新年会、送別会、歓迎会、2次会、結婚パーティなどでの貸し切りが多いです◆貸切予算、人数は曜日などによって異なります
日曜営業
定休日
年末年始（31〜3日までお休みさせていただきます。）",東京都国分寺市本町3-8-17 アルファサカモトビル 1F,https://tabelog.com/tokyo/A1325/A132502/13219307/
1,居酒屋,猿乃拳,"営業時間
［月～金］17:30～23:00[土日祝]13:00～23:00※土日祝は13時より営業しておりますので、昼のみ・昼宴会に是非ご来店下さい。※2024年1月1日・2日・3日は13時～22時の営業となります。
日曜営業
定休日
【不定休】飯が旨いお店でゆったり飲むワンランク上の晩酌が楽しめる“大人向け酒場”は毎日営業！",東京都国分寺市本町4-1-10 国分寺シティハイツ B1F,https://tabelog.com/tokyo/A1325/A132502/13270014/
2,居酒屋,やきとり 河崎屋 国分寺店,"営業時間
[月〜日]17:00〜23:30(LO22:30)
日曜営業
定休日
年末年始以外毎日営業中！",東京都国分寺市本町3-11-16,https://tabelog.com/tokyo/A1325/A132502/13215776/
3,居酒屋,殻YABURI 国分寺店,"営業時間
【月～木】17:00～23:00【金・祝前日】17:00～23:30【土】16:00～23:30【日・祝日】16:00～23:00【L.O】22:30
日曜営業
定休日
【年末年始】お席で喫煙可・完全個室あり・少人数半個室多数ご用意・飲み放題付コース、単品飲み放題あり・ドリンク396円～(税込)・30名様までOK「全国から厳選したブランド卵を使用♪」",東京都国分寺市南町2-16-19 加藤ビル 2F・3F,https://tabelog.com/tokyo/A1325/A132502/13290418/
4,居酒屋,和多花,"営業時間
・ディナー【月～土】17:00～23:00（L.O.22：30）日曜日は10名以上でのお問い合わせは承ります。
定休日
日曜日　祝日",東京都国分寺市本町2-3-7 師岡ビル　２Ｆ・３Ｆ,https://tabelog.com/tokyo/A1325/A132502/13032834/
5,居酒屋,晴れの場,"営業時間
[月～土]17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
定休日
日曜・年末年始　※土日祝日の連休の場合最終日を定休とします。",東京都国分寺市南町3-23-4 第3浦野ビル 1F,https://tabelog.com/tokyo/A1325/A132502/13158041/
6,居酒屋,大衆酒場 文太,"営業時間
月曜日〜土曜日17時～24時フードラストオーダー23時ドリンクラストオーダー23時30分日曜日、祝日17時〜23時フード、ドリンクラストオーダー状況により
日曜営業
定休日
なし",東京都国分寺市本町2-3-7 NFビル2階,https://tabelog.com/tokyo/A1325/A132502/13094430/
7,居酒屋,ユニバーサルスタンド コシカケ,"営業時間
16~24時　（炭焼き料理LO22時半／フードLO23時／ドリンクLOＬ23時半）
日曜営業
定休日
不定休（詳細はインスタ参照）",東京都国分寺市本町3-10-17 田中ビル 1F,https://tabelog.com/tokyo/A1325/A132502/13287728/
8,居酒屋,日本酒と牡蠣...時々おでんBACHIYA 国分寺店,"営業時間
■平日17:30～23:30（l.o23:00）■土日祝14:00～23:30（l.o23:00）【年末年始営業のお知らせ】12/25～30：14:00～23:30（Lo.23:00）12/31.1/1：休業1/2.3：14:00～22:30（Lo.22:00）
日曜営業
定休日
不定休",東京都国分寺市本町3-7-31 深沢ビル 1F,https://tabelog.com/tokyo/A1325/A132502/13276709/
9,居酒屋,兎兎魯,"営業時間
17時〜24時
日曜営業
定休日
年末年始",東京都国分寺市本町3-8-14 浅見ビル 1F,https://tabelog.com/tokyo/A1325/A132502/13198898/
10,居酒屋,SAN EI酒場,"営業時間
11:30～24:00(L.O 23:30)
日曜営業
定休日
不定休",東京都国分寺市本町2-2-9 第99東京ビル B1F,https://tabelog.com/tokyo/A1325/A132502/13255791/
11,居酒屋,炭火焼鳥 鶏酔炭,"営業時間
月曜日から土曜日17：00〜ラスト
定休日
日曜日定休日",東京都国分寺市南町2‐18‐3 国分寺マンション B-05,https://tabelog.com/tokyo/A1325/A132502/13271152/
12,居酒屋,国分寺CHUBO はっぴ 北口店,"営業時間
【月、火】17:00～24:00（LO=23:30）【水、木、金、祝前日】17:00～25:00（LO=24:30）【土、日、祝日】　16:00～25:00（LO=24:30）～12月・年末年始の営業時間のご案内～毎日＝16:00～OPENとなります。1/2、1/3＝16:00～25:00まで。※詳細につきましては店舗までお問い合わせ下さい。
日曜営業
定休日
年中無休。※12/31,1/1は店休日となります。※店舗までお問い合わせ下さい。",東京都国分寺市本町2-10-3 本多ビル B1F,https://tabelog.com/tokyo/A1325/A132502/13118650/
13,居酒屋,我楽多家 国分寺本店,"営業時間
ディナー17:00～24:00（フードL.O.23:00、ドリンクL.O.23：30）
日曜営業
定休日
無休",東京都国分寺市本町2-3-9 三幸ビル　１Ｆ,https://tabelog.com/tokyo/A1325/A132502/13039219/
14,居酒屋,くいしん坊 国分寺,"営業時間
【火曜日～金曜日】17時～23時（フードLO22：00/ドリンクLO22：30）【土曜日】17時～22時（フードLO21：00/ドリンクLO21：30）
定休日
日・月曜日",東京都国分寺市南町3-27-10 カジュベール １F,https://tabelog.com/tokyo/A1325/A132502/13124409/
15,居酒屋,一軒目中華Salvador,"営業時間
［日から木］　　　17時～24時［金・土・祝前日］17時～28時
日曜営業
定休日
不定休",東京都国分寺市本町2-8-4,https://tabelog.com/tokyo/A1325/A132502/13283342/
16,居酒屋,酒肴庵 国分寺 恵比寿屋本店,"営業時間
17：00～翌朝5：00営業しております。また、オープン時間のご要望にはお答えしますのでご相談ください。
日曜営業
定休日
12/31～1/3",東京都国分寺市本町3-6-12 ＦＬＡＴ瀬村　１Ｆ,https://tabelog.com/tokyo/A1325/A132502/13032896/
17,居酒屋,国分寺 猿酔家,"営業時間
17:30～翌1:00（L.O.24:00、ドリンクL.O.24:30）
日曜営業
定休日
不定休日あり■【国分寺駅3分】自慢の肉巻き串と旨い日本酒を堪能できる隠れ家居酒屋■【厳選食材使用】野菜肉巻き串、和牛炙り寿司、手羽先が自慢【飲み放題付コース】2時間6品4,000円｜3時間8品4,500円～■【大人のオシャレ空間】落ち着いた照明の灯る店内には、ロフト・カウンター・テーブル席完備",東京都国分寺市本町4-1-10 シティハイツ B1Ｆ,https://tabelog.com/tokyo/A1325/A132502/13040304/
18,居酒屋,恵比寿屋 HANARE 国分寺,"営業時間
【年末年始の営業】昼　11:30～15:00　（L．O14:00）夜　17:00～23:30　（L．O22:30）時間外の貸切宴会やイベントお問い合わせ下さい
日曜営業
定休日
定休日無し",東京都国分寺市本町3-7-31 深沢ビル 1F,https://tabelog.com/tokyo/A1325/A132502/13149599/
19,居酒屋,魚と出汁 くぐい,"営業時間
17:00～23:30
日曜営業
定休日
不定休",東京都国分寺市本町2-2-11 仙美堂ビル B1F,https://tabelog.com/tokyo/A1325/A132502/13256888/
20,居酒屋,個室居酒屋 鶏十兵衛 国分寺店,"営業時間
月～金ディナー　17:00～24:00（フードL.O.23:00）（ドリンクL.O.23:30）土・祝日ディナー　16:00～24:00日曜日　ディナー　16:00～23:00（フードL.O.23:00）（ドリンクL.O.23:30）昼宴会も承っております！お気軽にお問い合わせ下さい♪12/31、1/1はお休みさせて頂きます。
日曜営業
定休日
なし",東京都国分寺市南町2-16-14 KSビル 3Ｆ,https://tabelog.com/tokyo/A1325/A132502/13207513/
21,居酒屋,国分寺 沖縄居酒屋 島崎屋,"営業時間
[月〜日]18:00〜26:00（LOフード24:00、ドリンク25:00）
日曜営業
定休日
なし",東京都国分寺市本町3-5-6 SHビル 2F,https://tabelog.com/tokyo/A1325/A132502/13256591/
22,居酒屋,魚菜酒笑 吉,"営業時間
18:00〜24:00（ラストオーダー23:30）
日曜営業
定休日
水曜日",東京都国分寺市本多1-6-6 MB1F,https://tabelog.com/tokyo/A1325/A132502/13199567/
23,居酒屋,平成第七酒場 梟 国分寺本店,"営業時間
17:00～翌5:00（フードL.O翌4:00）（ドリンクL.O翌4:30）
日曜営業
定休日
なし",東京都国分寺市本町2-10-5 プラザ国分寺 2F,https://tabelog.com/tokyo/A1325/A132502/13253145/
24,居酒屋,平成第七立呑酒場 豚呑千鶏 国分寺店,"営業時間
［月〜木］17:00〜24:00［金曜日］17:00~26:00［土日祝］17:00〜26:00
日曜営業
定休日
なし",東京都国分寺市本町2-12-4 ユーリービル 1F,https://tabelog.com/tokyo/A1325/A132502/13272883/
25,居酒屋,寿司酒場 まぐろ人 国分寺店,"営業時間
【火～金】17:00〜23:00【土】11:30〜23:00【日･祝】11:30〜22:00※年末年始･お盆期間は営業時間が異なる場合がございます｡
日曜営業
定休日
毎週 月曜日",東京都国分寺市本町2-11-5 矢野ビル B1F,https://tabelog.com/tokyo/A1325/A132502/13240400/
26,居酒屋,コウヘイキッチン,"営業時間
［火〜日］17:30〜23:00(フードLO 22:00)(ドリンクLO 22:30)
日曜営業
定休日
月曜日",東京都国分寺市本町2-22-2 セレニティ国分寺1-B,https://tabelog.com/tokyo/A1325/A132502/13282809/
